"GroupNumber","FilePath","FileName","FileSize","LastModified","Hash"
"4289","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000813.jpg","00000813.jpg","25.15 KB","15/10/2024 10:24:51 pm","1d55cfae27355963f91f998f1094f6bf"
"4289","C:\Users\louie\Documents\Project\Capstone\Images\00000813.jpg","00000813.jpg","25.15 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4290","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00001857.jpg","00001857.jpg","43.90 KB","15/10/2024 10:25:07 pm","1d55cfae27355963f91f998f1094f6bf"
"4290","C:\Users\louie\Documents\Project\Capstone\Images\00001857.jpg","00001857.jpg","43.90 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4291","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00003818.jpg","00003818.jpg","28.68 KB","15/10/2024 10:25:36 pm","1d55cfae27355963f91f998f1094f6bf"
"4291","C:\Users\louie\Documents\Project\Capstone\Images\00003818.jpg","00003818.jpg","28.68 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4292","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004550.jpg","00004550.jpg","40.82 KB","15/10/2024 10:25:46 pm","1d55cfae27355963f91f998f1094f6bf"
"4292","C:\Users\louie\Documents\Project\Capstone\Images\00004550.jpg","00004550.jpg","40.82 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4293","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00001154.jpg","00001154.jpg","33.20 KB","15/10/2024 10:24:56 pm","1d55cfae27355963f91f998f1094f6bf"
"4293","C:\Users\louie\Documents\Project\Capstone\Images\00001154.jpg","00001154.jpg","33.20 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4294","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000522.jpg","00000522.jpg","30.18 KB","15/10/2024 10:24:47 pm","1d55cfae27355963f91f998f1094f6bf"
"4294","C:\Users\louie\Documents\Project\Capstone\Images\00000522.jpg","00000522.jpg","30.18 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4295","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00003831.jpg","00003831.jpg","35.40 KB","15/10/2024 10:25:36 pm","1d55cfae27355963f91f998f1094f6bf"
"4295","C:\Users\louie\Documents\Project\Capstone\Images\00003831.jpg","00003831.jpg","35.40 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4296","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00003073.jpg","00003073.jpg","37.58 KB","15/10/2024 10:25:25 pm","1d55cfae27355963f91f998f1094f6bf"
"4296","C:\Users\louie\Documents\Project\Capstone\Images\00003073.jpg","00003073.jpg","37.58 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4297","C:\Users\louie\Documents\GitProject\.mypy_cache\3.12\matplotlib\figure.data.json","figure.data.json","175.89 KB","1/2/2025 1:28:09 pm","1d55cfae27355963f91f998f1094f6bf"
"4297","C:\Users\louie\Documents\GitProject\Toto-Predictions\.mypy_cache\3.12\matplotlib\figure.data.json","figure.data.json","175.89 KB","3/2/2025 4:37:52 pm","1d55cfae27355963f91f998f1094f6bf"
"4298","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\.venv\Lib\site-packages\pandas\tests\frame\constructors\test_from_records.py","test_from_records.py","18.17 KB","21/7/2024 3:50:02 pm","1d55cfae27355963f91f998f1094f6bf"
"4298","C:\Users\louie\Documents\GitProject\PCSO Predictions\.venv\Lib\site-packages\pandas\tests\frame\constructors\test_from_records.py","test_from_records.py","18.17 KB","16/4/2025 5:38:57 pm","1d55cfae27355963f91f998f1094f6bf"
"4299","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000098.jpg","00000098.jpg","10.41 KB","15/10/2024 10:24:41 pm","1d55cfae27355963f91f998f1094f6bf"
